id,title,district,price,negotiable,link
1096742363,"URSYNÓW [ul Symfonii 1] do Metro Ursynów 5min, SGGW pieszo 15 min",Ursynów,1550,false,https://www.olx.pl/d/oferta/ursynow-ul-symfonii-1-do-metro-ursynow-5min-sggw-pieszo-15-min-CID3-ID1cdOMX.html?search_reason=search%7Corganic
1095577744,1-os. pokój | Wokalna | blisko Metro Ursynów | 0% prowizji,Ursynów,1400,false,https://www.olx.pl/d/oferta/1-os-pokoj-wokalna-blisko-metro-ursynow-0-prowizji-CID3-ID1c8WOM.html?search_reason=search%7Corganic
1096641430,Ładny pokój/ Хорошая комната для пары Ursynów-Natolin (8min SGGW i Vistula),Ursynów,1480,false,https://www.olx.pl/d/oferta/ladny-pokoj-ursynow-natolin-8min-sggw-i-vistula-CID3-ID1cdox0.html?search_reason=search%7Corganic
1097501817,"Pokój | Marymoncka 153 | metro Młociny 1,4km | od zaraz | 643",Bielany,1020,false,https://www.olx.pl/d/oferta/pokoj-marymoncka-153-metro-mlociny-1-4km-od-zaraz-643-CID3-ID1ch0md.html?search_reason=search%7Cpromoted
1015334695,Wysoki Standard – Metro Politechnika,Śródmieście,1650,true,https://www.olx.pl/d/oferta/wysoki-standard-metro-politechnika-CID3-ID16IeV3.html?search_reason=search%7Cpromoted
1093923164,"Pokój przy m. Ursynów! SGGW, VISTULI, WSTiR, WZ UW, Politechnika",Ursynów,1180,false,https://www.olx.pl/d/oferta/pokoj-przy-m-ursynow-sggw-vistuli-wstir-wz-uw-politechnika-CID3-ID1c1Zo0.html?search_reason=search%7Cpromoted
1095730135,Szukam współlokatorki do mieszkania 2-pokojowego,Mokotów,1750,false,https://www.olx.pl/d/oferta/szukam-wspollokatorki-do-mieszkania-2-pokojowego-CID3-ID1c9zsH.html?search_reason=search%7Corganic
1096049214,Wolny pokój przy metrze Księcia Janusza,Wola,1200,false,https://www.olx.pl/d/oferta/wolny-pokoj-przy-metrze-ksiecia-janusza-CID3-ID1caUt8.html?search_reason=search%7Corganic
1097395629,Duży pokój 10 m2 / METRO WILANOWSKA / Łazarski / SGH / Domaniewska / Puławska / Niepodległości SERWIS SPRZĄTAJĄCY,Mokotów,1550,false,https://www.olx.pl/d/oferta/duzy-pokoj-10-m2-metro-wilanowska-lazarski-sgh-domaniewska-pulawska-niepodleglosci-serwis-sprzatajacy-CID3-ID1cgyJw.html?search_reason=search%7Corganic
1095373608,790 злотых месяц проживания! Общежитие Варшава Хостел Hostel,Mokotów,750,false,https://www.olx.pl/d/oferta/790-hostel-CID3-ID1c84Ig.html?search_reason=search%7Corganic
1095919385,Pokój 1 os. Wolny od zaraz - 4 min. do Metra Bródno - ul. Suwalska.,Targówek,899,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-zaraz-4-min-do-metra-brodno-ul-suwalska-CID3-ID1camH7.html?search_reason=search%7Corganic
1097352630,Duży pokój 17 m² | Metro Młynów | Wola | 1850 zł ze wszystkimi opłatami,Wola,1850,false,https://www.olx.pl/d/oferta/duzy-pokoj-17-m-metro-mlynow-wola-1850-zl-ze-wszystkimi-oplatami-CID3-ID1cgnxY.html?search_reason=search%7Corganic
1094937591,"Cichy pokój z dobrą komunikacją (PKP, ZTM) dla dziewczyny.",Ursus,1170,false,https://www.olx.pl/d/oferta/cichy-pokoj-z-dobra-komunikacja-pkp-ztm-dla-dziewczyny-CID3-ID1c6fhJ.html?search_reason=search%7Corganic
1093772791,Pokój 1 os. Wolny od zaraz - Ursynów - ul. Dunikowskiego - 8 min. do Metra Stokłosy :),Ursynów,999,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-zaraz-ursynow-ul-dunikowskiego-8-min-do-metra-stoklosy-CID3-ID1c1mgD.html?search_reason=search%7Corganic
1095193183,"Pokój dla studenta/-tki / Mokotów Egejska / 20-30 minut UW, PW, SGH, SGGW, Łazarski, Vistula, Merito",Mokotów,1150,false,https://www.olx.pl/d/oferta/pokoj-dla-studenta-tki-mokotow-egejska-20-30-minut-uw-pw-sgh-sggw-lazarski-vistula-merito-CID3-ID1c7jMb.html?search_reason=search%7Corganic
1095147560,"Pokój 1 os. wolny od 30.09. - 6 min. do Metra Wilanowska - Mokotów, ul Sobieskiego, 20 min. do UW i PW.",Mokotów,999,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-30-09-6-min-do-metra-wilanowska-mokotow-ul-sobieskiego-20-min-do-uw-i-pw-CID3-ID1c77Uk.html?search_reason=search%7Corganic
1014821935,Duży pokój 17 m² w domu z ogrodem Warszawa Wawer przy Płowieckiej,Rembertów,1400,false,https://www.olx.pl/d/oferta/duzy-pokoj-17-m-w-domu-z-ogrodem-warszawa-wawer-przy-plowieckiej-CID3-ID16G5xJ.html?search_reason=search%7Cpromoted
1097132431,wolny pokój dla osoby pracjącej lub studentki ul. budowlana  7 i wole miejsce w garażu,Targówek,1600,false,https://www.olx.pl/d/oferta/wolny-pokoj-dla-osoby-pracjacej-lub-studentki-ul-budowlana-7-i-wole-miejsce-w-garazu-CID3-ID1cfsgn.html?search_reason=search%7Cpromoted
1094543024,"Pokój 1osobowy Gocław - szybki dojazd Metro Politechnika, SWPS, SGGW, Centrum",Praga-Południe,980,false,https://www.olx.pl/d/oferta/pokoj-1osobowy-goclaw-szybki-dojazd-metro-politechnika-swps-sggw-centrum-CID3-ID1c4ADK.html?search_reason=search%7Cpromoted
1093746782,Pokój 1 os. wolny od Zaraz - Wola - ul. Okopowa - Dobra Komunikacja i Lokalizacja.,Śródmieście,1299,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-zaraz-wola-ul-okopowa-dobra-komunikacja-i-lokalizacja-CID3-ID1c1fw8.html?search_reason=search%7Corganic
1097993267,Pokój 1 osobowy 30m2 z aneksem kuchennym i balkonem łózko 160cm wysoki standard,Bielany,2000,false,https://www.olx.pl/d/oferta/pokoj-1-osobowy-30m2-z-aneksem-kuchennym-i-balkonem-lozko-160cm-wysoki-standard-CID3-ID1cj4cP.html?search_reason=search%7Corganic
1095022334,Atrakcyjny poķóǰ | Metro Natolin | SGGW Vistula,Ursynów,1350,true,https://www.olx.pl/d/oferta/atrakcyjny-poo-metro-natolin-sggw-vistula-CID3-ID1c6Bky.html?search_reason=search%7Corganic
1093740042,Pokój 1 os. wolny od zaraz - Bemowo- - ul. Legendy - Dobra lokalizacja i komunikacja.,Bemowo,999,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-zaraz-bemowo-ul-legendy-dobra-lokalizacja-i-komunikacja-CID3-ID1c1dKq.html?search_reason=search%7Corganic
1097400967,"Przy Agorze 5 | Bielany | Pojemna szafa i widok na zieleń | UKSW, AWF, WAT | wolne od zaraz",Bielany,1200,false,https://www.olx.pl/d/oferta/przy-agorze-5-bielany-pojemna-szafa-i-widok-na-zielen-uksw-awf-wat-wolne-od-zaraz-CID3-ID1cgA7B.html?search_reason=search%7Corganic
1094893771,Pokój 1 os. wolny od 11.09. - Metro Wilanowska - Mokotów - ul. Pohoskiego.,Mokotów,999,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-11-09-metro-wilanowska-mokotow-ul-pohoskiego-CID3-ID1c63SX.html?search_reason=search%7Corganic
1095425460,"Mały cichy pokój 1os., świetna lokalizacja Nowowiejska/Niepodległości, mieszkanie dla pań",Ochota,840,false,https://www.olx.pl/d/oferta/maly-cichy-pokoj-1os-swietna-lokalizacja-nowowiejska-niepodleglosci-mieszkanie-dla-pan-CID3-ID1c8icA.html?search_reason=search%7Corganic
1093730823,Pokój 1 os. wolny od zaraz - Bemowo - ul. Kossutha - 5 min. do Metra Bemowo - 15 min. do WAT-u.,Bemowo,999,false,https://www.olx.pl/d/oferta/pokoj-1-os-wolny-od-zaraz-bemowo-ul-kossutha-5-min-do-metra-bemowo-15-min-do-wat-u-CID3-ID1c1blJ.html?search_reason=search%7Corganic
1094244033,"Pokój Warszawa Wola nowy z kuchnią i łazienką, niski czynsz! Klimatyzacja!",Wola,1400,false,https://www.olx.pl/d/oferta/pokoj-warszawa-wola-nowy-z-kuchnia-i-lazienka-niski-czynsz-klimatyzacja-CID3-ID1c3kRj.html?search_reason=search%7Corganic
1092938704,METRO / zadbany pokój /opłaty wliczone,Praga-Północ,1530,false,https://www.olx.pl/d/oferta/metro-zadbany-pokoj-oplaty-wliczone-CID3-ID1bXRhC.html?search_reason=search%7Corganic
941986713,Ładny pokój 1-os. z balkonem na Mokotowie – SGGW zaledwie 7 min!  Ul. Egejska 5,Mokotów,950,false,https://www.olx.pl/d/oferta/ladny-pokoj-1-os-z-balkonem-na-mokotowie-sggw-zaledwie-7-min-ul-egejska-5-CID3-ID11KtM5.html?search_reason=search%7Cpromoted
1093111033,"Pokój | Anielewicza 18A | metro Ratusz Arsenał 1,4km | od 30.09 | 1025",Wola,1290,false,https://www.olx.pl/d/oferta/pokoj-anielewicza-18a-metro-ratusz-arsenal-1-4km-od-30-09-1025-CID3-ID1bYA77.html?search_reason=search%7Cpromoted
1036933786,BEZPOŚREDNIO- Pokój na Mokotowie -1500 zł,Mokotów,1500,false,https://www.olx.pl/d/oferta/bezposrednio-pokoj-na-mokotowie-1500-zl-CID3-ID18aRQu.html?search_reason=search%7Cpromoted
1094035825,"Duży pokój jednoosobowy, 20m + balkon Bemowo",Bemowo,1550,false,https://www.olx.pl/d/oferta/duzy-pokoj-jednoosobowy-20m-balkon-bemowo-CID3-ID1c2sH7.html?search_reason=search%7Corganic
1093131190,7 min. do Metra Targówek M. - Pokój 1 os. Wolny od zaraz - ul. Orłowska.,Targówek,899,false,https://www.olx.pl/d/oferta/7-min-do-metra-targowek-m-pokoj-1-os-wolny-od-zaraz-ul-orlowska-CID3-ID1bYFme.html?search_reason=search%7Corganic
1093416214,Pokój dla 1os/metro Imielin/Ursynów,Ursynów,1100,false,https://www.olx.pl/d/oferta/pokoj-dla-1os-metro-imielin-ursynow-CID3-ID1bZRwo.html?search_reason=search%7Corganic
1096207529,pokój 10 m2 do wynajęcia Warszawa Fort Bema Bemowo,Bemowo,1300,true,https://www.olx.pl/d/oferta/pokoj-10-m2-do-wynajecia-warszawa-fort-bema-bemowo-CID3-ID1cbzEB.html?search_reason=search%7Corganic
